lead_id,timestamp,channel,touchpoint_order,journey_length,converted,revenue
L00001,2024-12-14,Sales Call,1,5,1,2223
L00001,2024-12-17,Paid Search,2,5,1,2223
L00001,2024-12-22,Organic Search,3,5,1,2223
L00001,2024-12-17,Blog Post,4,5,1,2223
L00001,2024-12-18,Demo Request,5,5,1,2223
L00002,2024-05-29,Facebook Ad,1,4,0,0
L00002,2024-05-31,LinkedIn Ad,2,4,0,0
L00002,2024-06-06,Paid Search,3,4,0,0
L00002,2024-06-10,Product Page,4,4,0,0
L00003,2024-07-10,Demo Request,1,3,1,2808
L00003,2024-07-11,Webinar,2,3,1,2808
L00003,2024-07-12,Organic Search,3,3,1,2808
L00004,2024-08-23,Organic Search,1,6,1,2177
L00004,2024-08-24,Paid Search,2,6,1,2177
L00004,2024-08-29,Facebook Ad,3,6,1,2177
L00004,2024-09-01,Product Page,4,6,1,2177
L00004,2024-09-04,Blog Post,5,6,1,2177
L00004,2024-09-02,Webinar,6,6,1,2177
L00005,2024-02-24,Organic Search,1,5,1,1385
L00005,2024-02-28,Product Page,2,5,1,1385
L00005,2024-02-26,Facebook Ad,3,5,1,1385
L00005,2024-03-04,Webinar,4,5,1,1385
L00005,2024-02-28,Paid Search,5,5,1,1385
L00006,2024-11-24,Whitepaper,1,6,1,1519
L00006,2024-11-26,Demo Request,2,6,1,1519
L00006,2024-12-02,Blog Post,3,6,1,1519
L00006,2024-11-27,Organic Search,4,6,1,1519
L00006,2024-12-10,Webinar,5,6,1,1519
L00006,2024-12-04,Paid Search,6,6,1,1519
L00007,2024-04-01,Webinar,1,5,0,0
L00007,2024-04-05,Email Campaign,2,5,0,0
L00007,2024-04-07,Blog Post,3,5,0,0
L00007,2024-04-13,LinkedIn Ad,4,5,0,0
L00007,2024-04-05,Paid Search,5,5,0,0
L00008,2024-07-24,Email Campaign,1,4,0,0
L00008,2024-07-28,Paid Search,2,4,0,0
L00008,2024-07-28,Demo Request,3,4,0,0
L00008,2024-08-05,Webinar,4,4,0,0
L00009,2024-09-16,Paid Search,1,3,0,0
L00009,2024-09-17,Email Campaign,2,3,0,0
L00009,2024-09-22,Demo Request,3,3,0,0
L00010,2024-06-10,Demo Request,1,5,0,0
L00010,2024-06-12,Blog Post,2,5,0,0
L00010,2024-06-18,Organic Search,3,5,0,0
L00010,2024-06-16,Whitepaper,4,5,0,0
L00010,2024-06-22,Sales Call,5,5,0,0
L00011,2024-07-08,Paid Search,1,5,1,1766
L00011,2024-07-09,Webinar,2,5,1,1766
L00011,2024-07-16,Sales Call,3,5,1,1766
L00011,2024-07-11,Blog Post,4,5,1,1766
L00011,2024-07-16,Demo Request,5,5,1,1766
L00012,2024-08-04,Sales Call,1,3,1,1325
L00012,2024-08-08,Demo Request,2,3,1,1325
L00012,2024-08-12,Email Campaign,3,3,1,1325
L00013,2024-11-22,Demo Request,1,2,0,0
L00013,2024-11-26,Facebook Ad,2,2,0,0
L00014,2024-03-21,Paid Search,1,4,0,0
L00014,2024-03-24,Organic Search,2,4,0,0
L00014,2024-03-27,Facebook Ad,3,4,0,0
L00014,2024-03-24,Blog Post,4,4,0,0
L00015,2024-08-18,Paid Search,1,3,0,0
L00015,2024-08-19,Facebook Ad,2,3,0,0
L00015,2024-08-26,Sales Call,3,3,0,0
L00016,2024-02-02,Webinar,1,5,1,1589
L00016,2024-02-05,Blog Post,2,5,1,1589
L00016,2024-02-08,Whitepaper,3,5,1,1589
L00016,2024-02-08,Email Campaign,4,5,1,1589
L00016,2024-02-18,Paid Search,5,5,1,1589
L00017,2024-12-25,Email Campaign,1,5,1,2778
L00017,2024-12-28,Sales Call,2,5,1,2778
L00017,2024-12-31,Facebook Ad,3,5,1,2778
L00017,2024-12-28,Blog Post,4,5,1,2778
L00017,2025-01-06,Demo Request,5,5,1,2778
L00018,2024-09-11,Sales Call,1,3,0,0
L00018,2024-09-14,Paid Search,2,3,0,0
L00018,2024-09-17,LinkedIn Ad,3,3,0,0
L00019,2024-02-11,Product Page,1,3,1,2636
L00019,2024-02-12,Facebook Ad,2,3,1,2636
L00019,2024-02-17,LinkedIn Ad,3,3,1,2636
L00020,2024-02-21,Whitepaper,1,2,0,0
L00020,2024-02-25,Webinar,2,2,0,0
L00021,2024-08-18,Blog Post,1,6,1,1353
L00021,2024-08-21,Product Page,2,6,1,1353
L00021,2024-08-24,Facebook Ad,3,6,1,1353
L00021,2024-08-21,Email Campaign,4,6,1,1353
L00021,2024-09-03,Webinar,5,6,1,1353
L00021,2024-08-23,Organic Search,6,6,1,1353
L00022,2024-06-18,Facebook Ad,1,3,1,1598
L00022,2024-06-20,Organic Search,2,3,1,1598
L00022,2024-06-20,Email Campaign,3,3,1,1598
L00023,2024-01-28,Webinar,1,5,1,1438
L00023,2024-02-01,Blog Post,2,5,1,1438
L00023,2024-02-05,Paid Search,3,5,1,1438
L00023,2024-02-03,Facebook Ad,4,5,1,1438
L00023,2024-02-05,Demo Request,5,5,1,1438
L00024,2024-10-09,Email Campaign,1,2,0,0
L00024,2024-10-10,Facebook Ad,2,2,0,0
L00025,2024-09-15,Sales Call,1,2,0,0
L00025,2024-09-17,Whitepaper,2,2,0,0
L00026,2024-11-13,Webinar,1,2,1,1737
L00026,2024-11-14,Whitepaper,2,2,1,1737
L00027,2024-05-31,LinkedIn Ad,1,5,1,1469
L00027,2024-06-03,Blog Post,2,5,1,1469
L00027,2024-06-04,Sales Call,3,5,1,1469
L00027,2024-06-12,Facebook Ad,4,5,1,1469
L00027,2024-06-16,Email Campaign,5,5,1,1469
L00028,2024-02-21,Product Page,1,3,0,0
L00028,2024-02-23,Sales Call,2,3,0,0
L00028,2024-02-27,Blog Post,3,3,0,0
L00029,2024-04-10,Demo Request,1,2,1,1882
L00029,2024-04-14,Webinar,2,2,1,1882
L00030,2024-01-02,Demo Request,1,2,1,2382
L00030,2024-01-06,Webinar,2,2,1,2382
L00031,2024-05-05,Email Campaign,1,4,0,0
L00031,2024-05-06,Facebook Ad,2,4,0,0
L00031,2024-05-13,LinkedIn Ad,3,4,0,0
L00031,2024-05-11,Whitepaper,4,4,0,0
L00032,2024-07-21,Paid Search,1,5,1,1792
L00032,2024-07-24,Organic Search,2,5,1,1792
L00032,2024-07-23,Sales Call,3,5,1,1792
L00032,2024-07-30,LinkedIn Ad,4,5,1,1792
L00032,2024-07-29,Email Campaign,5,5,1,1792
L00033,2024-04-07,LinkedIn Ad,1,5,0,0
L00033,2024-04-09,Webinar,2,5,0,0
L00033,2024-04-13,Paid Search,3,5,0,0
L00033,2024-04-16,Demo Request,4,5,0,0
L00033,2024-04-23,Facebook Ad,5,5,0,0
L00034,2024-05-03,Demo Request,1,2,0,0
L00034,2024-05-05,Whitepaper,2,2,0,0
L00035,2024-05-27,Product Page,1,4,0,0
L00035,2024-05-30,Blog Post,2,4,0,0
L00035,2024-06-04,Sales Call,3,4,0,0
L00035,2024-06-05,Organic Search,4,4,0,0
L00036,2024-05-27,Sales Call,1,4,0,0
L00036,2024-05-30,Paid Search,2,4,0,0
L00036,2024-06-04,Product Page,3,4,0,0
L00036,2024-05-30,Blog Post,4,4,0,0
L00037,2024-12-25,Sales Call,1,3,0,0
L00037,2024-12-28,Email Campaign,2,3,0,0
L00037,2025-01-02,Paid Search,3,3,0,0
L00038,2024-05-30,Blog Post,1,3,1,2835
L00038,2024-06-01,Webinar,2,3,1,2835
L00038,2024-06-03,LinkedIn Ad,3,3,1,2835
L00039,2024-02-29,Whitepaper,1,2,0,0
L00039,2024-03-02,Organic Search,2,2,0,0
L00040,2024-02-06,Blog Post,1,5,1,2421
L00040,2024-02-09,Product Page,2,5,1,2421
L00040,2024-02-12,LinkedIn Ad,3,5,1,2421
L00040,2024-02-09,Paid Search,4,5,1,2421
L00040,2024-02-10,Webinar,5,5,1,2421
L00041,2024-05-31,Sales Call,1,4,0,0
L00041,2024-06-04,Blog Post,2,4,0,0
L00041,2024-06-02,Product Page,3,4,0,0
L00041,2024-06-12,Facebook Ad,4,4,0,0
L00042,2024-04-13,LinkedIn Ad,1,2,1,2234
L00042,2024-04-15,Email Campaign,2,2,1,2234
L00043,2024-12-03,LinkedIn Ad,1,6,1,1428
L00043,2024-12-05,Product Page,2,6,1,1428
L00043,2024-12-09,Demo Request,3,6,1,1428
L00043,2024-12-15,Organic Search,4,6,1,1428
L00043,2024-12-07,Blog Post,5,6,1,1428
L00043,2024-12-08,Sales Call,6,6,1,1428
L00044,2024-10-15,Whitepaper,1,5,1,2339
L00044,2024-10-16,Organic Search,2,5,1,2339
L00044,2024-10-23,Paid Search,3,5,1,2339
L00044,2024-10-27,Email Campaign,4,5,1,2339
L00044,2024-10-31,Webinar,5,5,1,2339
L00045,2024-06-24,Blog Post,1,2,0,0
L00045,2024-06-27,Facebook Ad,2,2,0,0
L00046,2024-02-20,Organic Search,1,6,1,2752
L00046,2024-02-24,Facebook Ad,2,6,1,2752
L00046,2024-02-26,Paid Search,3,6,1,2752
L00046,2024-02-29,Product Page,4,6,1,2752
L00046,2024-02-28,Email Campaign,5,6,1,2752
L00046,2024-02-25,Demo Request,6,6,1,2752
L00047,2024-11-12,Paid Search,1,5,1,1900
L00047,2024-11-15,Product Page,2,5,1,1900
L00047,2024-11-20,LinkedIn Ad,3,5,1,1900
L00047,2024-11-21,Demo Request,4,5,1,1900
L00047,2024-11-28,Email Campaign,5,5,1,1900
L00048,2024-04-04,Whitepaper,1,6,1,2592
L00048,2024-04-08,Product Page,2,6,1,2592
L00048,2024-04-06,LinkedIn Ad,3,6,1,2592
L00048,2024-04-16,Blog Post,4,6,1,2592
L00048,2024-04-16,Sales Call,5,6,1,2592
L00048,2024-04-09,Webinar,6,6,1,2592
L00049,2024-09-12,Webinar,1,2,0,0
L00049,2024-09-16,Facebook Ad,2,2,0,0
L00050,2024-08-10,Product Page,1,3,0,0
L00050,2024-08-12,Facebook Ad,2,3,0,0
L00050,2024-08-16,Blog Post,3,3,0,0
L00051,2024-10-14,Webinar,1,3,1,2845
L00051,2024-10-16,Email Campaign,2,3,1,2845
L00051,2024-10-20,Whitepaper,3,3,1,2845
L00052,2024-04-13,Product Page,1,2,0,0
L00052,2024-04-14,Whitepaper,2,2,0,0
L00053,2024-06-18,Paid Search,1,6,0,0
L00053,2024-06-20,Facebook Ad,2,6,0,0
L00053,2024-06-24,Demo Request,3,6,0,0
L00053,2024-06-24,Sales Call,4,6,0,0
L00053,2024-06-22,LinkedIn Ad,5,6,0,0
L00053,2024-07-08,Organic Search,6,6,0,0
L00054,2024-11-08,Demo Request,1,3,0,0
L00054,2024-11-09,Product Page,2,3,0,0
L00054,2024-11-16,Facebook Ad,3,3,0,0
L00055,2024-05-22,Demo Request,1,5,1,2041
L00055,2024-05-24,Facebook Ad,2,5,1,2041
L00055,2024-05-26,Organic Search,3,5,1,2041
L00055,2024-06-03,Paid Search,4,5,1,2041
L00055,2024-06-03,Email Campaign,5,5,1,2041
L00056,2024-06-01,Sales Call,1,4,0,0
L00056,2024-06-04,Organic Search,2,4,0,0
L00056,2024-06-05,Facebook Ad,3,4,0,0
L00056,2024-06-04,Paid Search,4,4,0,0
L00057,2024-12-07,Organic Search,1,3,0,0
L00057,2024-12-11,Email Campaign,2,3,0,0
L00057,2024-12-11,Paid Search,3,3,0,0
L00058,2024-04-10,Product Page,1,4,1,1415
L00058,2024-04-14,Facebook Ad,2,4,1,1415
L00058,2024-04-12,Blog Post,3,4,1,1415
L00058,2024-04-22,Whitepaper,4,4,1,1415
L00059,2024-12-15,Facebook Ad,1,6,0,0
L00059,2024-12-18,Product Page,2,6,0,0
L00059,2024-12-21,LinkedIn Ad,3,6,0,0
L00059,2024-12-27,Whitepaper,4,6,0,0
L00059,2024-12-31,Paid Search,5,6,0,0
L00059,2025-01-04,Sales Call,6,6,0,0
L00060,2024-04-15,Webinar,1,5,1,2173
L00060,2024-04-18,Facebook Ad,2,5,1,2173
L00060,2024-04-17,Paid Search,3,5,1,2173
L00060,2024-04-27,Product Page,4,5,1,2173
L00060,2024-04-27,Email Campaign,5,5,1,2173
L00061,2024-12-11,Webinar,1,3,1,3425
L00061,2024-12-13,Email Campaign,2,3,1,3425
L00061,2024-12-13,Sales Call,3,3,1,3425
L00062,2024-02-27,Webinar,1,2,0,0
L00062,2024-02-28,Whitepaper,2,2,0,0
L00063,2024-08-24,Organic Search,1,2,0,0
L00063,2024-08-25,Paid Search,2,2,0,0
L00064,2024-10-04,Organic Search,1,6,1,1458
L00064,2024-10-07,Webinar,2,6,1,1458
L00064,2024-10-10,Email Campaign,3,6,1,1458
L00064,2024-10-16,Paid Search,4,6,1,1458
L00064,2024-10-12,Whitepaper,5,6,1,1458
L00064,2024-10-24,Demo Request,6,6,1,1458
L00065,2024-10-11,Facebook Ad,1,2,1,1810
L00065,2024-10-15,Product Page,2,2,1,1810
L00066,2024-12-06,Whitepaper,1,3,0,0
L00066,2024-12-10,LinkedIn Ad,2,3,0,0
L00066,2024-12-08,Webinar,3,3,0,0
L00067,2024-01-23,LinkedIn Ad,1,6,1,3497
L00067,2024-01-25,Blog Post,2,6,1,3497
L00067,2024-01-27,Whitepaper,3,6,1,3497
L00067,2024-01-26,Facebook Ad,4,6,1,3497
L00067,2024-02-08,Webinar,5,6,1,3497
L00067,2024-02-02,Organic Search,6,6,1,3497
L00068,2024-09-06,Whitepaper,1,3,0,0
L00068,2024-09-08,Product Page,2,3,0,0
L00068,2024-09-14,Paid Search,3,3,0,0
L00069,2024-01-04,Organic Search,1,6,0,0
L00069,2024-01-08,Product Page,2,6,0,0
L00069,2024-01-12,Sales Call,3,6,0,0
L00069,2024-01-13,Paid Search,4,6,0,0
L00069,2024-01-12,Webinar,5,6,0,0
L00069,2024-01-09,Whitepaper,6,6,0,0
L00070,2024-12-05,LinkedIn Ad,1,4,0,0
L00070,2024-12-09,Webinar,2,4,0,0
L00070,2024-12-09,Whitepaper,3,4,0,0
L00070,2024-12-14,Product Page,4,4,0,0
L00071,2024-06-27,Facebook Ad,1,2,0,0
L00071,2024-06-28,Webinar,2,2,0,0
L00072,2024-06-16,Organic Search,1,2,1,1610
L00072,2024-06-19,LinkedIn Ad,2,2,1,1610
L00073,2024-03-30,Webinar,1,6,1,2166
L00073,2024-04-01,Organic Search,2,6,1,2166
L00073,2024-04-05,Sales Call,3,6,1,2166
L00073,2024-04-02,Blog Post,4,6,1,2166
L00073,2024-04-11,Product Page,5,6,1,2166
L00073,2024-04-19,Facebook Ad,6,6,1,2166
L00074,2024-03-15,Blog Post,1,3,1,2040
L00074,2024-03-19,Webinar,2,3,1,2040
L00074,2024-03-23,Product Page,3,3,1,2040
L00075,2024-07-10,Sales Call,1,6,1,2395
L00075,2024-07-11,Whitepaper,2,6,1,2395
L00075,2024-07-16,LinkedIn Ad,3,6,1,2395
L00075,2024-07-22,Facebook Ad,4,6,1,2395
L00075,2024-07-26,Product Page,5,6,1,2395
L00075,2024-07-20,Paid Search,6,6,1,2395
L00076,2024-09-24,Organic Search,1,6,1,2009
L00076,2024-09-27,Demo Request,2,6,1,2009
L00076,2024-09-26,Product Page,3,6,1,2009
L00076,2024-10-03,Sales Call,4,6,1,2009
L00076,2024-09-28,Email Campaign,5,6,1,2009
L00076,2024-10-09,LinkedIn Ad,6,6,1,2009
L00077,2024-12-07,Organic Search,1,2,1,2744
L00077,2024-12-10,Sales Call,2,2,1,2744
L00078,2024-08-20,Demo Request,1,5,0,0
L00078,2024-08-24,Whitepaper,2,5,0,0
L00078,2024-08-22,Product Page,3,5,0,0
L00078,2024-08-29,LinkedIn Ad,4,5,0,0
L00078,2024-09-05,Organic Search,5,5,0,0
L00079,2024-12-04,Product Page,1,5,1,2963
L00079,2024-12-07,Paid Search,2,5,1,2963
L00079,2024-12-12,LinkedIn Ad,3,5,1,2963
L00079,2024-12-07,Demo Request,4,5,1,2963
L00079,2024-12-08,Blog Post,5,5,1,2963
L00080,2024-02-22,Paid Search,1,5,0,0
L00080,2024-02-26,Facebook Ad,2,5,0,0
L00080,2024-02-24,Webinar,3,5,0,0
L00080,2024-03-02,Sales Call,4,5,0,0
L00080,2024-02-26,Blog Post,5,5,0,0
L00081,2024-08-10,Facebook Ad,1,3,0,0
L00081,2024-08-11,Demo Request,2,3,0,0
L00081,2024-08-16,Organic Search,3,3,0,0
L00082,2024-11-26,Demo Request,1,4,0,0
L00082,2024-11-29,Paid Search,2,4,0,0
L00082,2024-12-04,Webinar,3,4,0,0
L00082,2024-11-29,Email Campaign,4,4,0,0
L00083,2024-09-09,Blog Post,1,5,1,1042
L00083,2024-09-12,Facebook Ad,2,5,1,1042
L00083,2024-09-13,Email Campaign,3,5,1,1042
L00083,2024-09-12,Demo Request,4,5,1,1042
L00083,2024-09-25,LinkedIn Ad,5,5,1,1042
L00084,2024-10-09,Webinar,1,3,0,0
L00084,2024-10-11,LinkedIn Ad,2,3,0,0
L00084,2024-10-11,Blog Post,3,3,0,0
L00085,2024-05-15,Whitepaper,1,4,0,0
L00085,2024-05-16,Email Campaign,2,4,0,0
L00085,2024-05-17,Paid Search,3,4,0,0
L00085,2024-05-21,Organic Search,4,4,0,0
L00086,2024-10-27,Whitepaper,1,2,0,0
L00086,2024-10-31,Demo Request,2,2,0,0
L00087,2024-12-29,Demo Request,1,4,0,0
L00087,2025-01-01,Paid Search,2,4,0,0
L00087,2025-01-04,Sales Call,3,4,0,0
L00087,2025-01-04,Facebook Ad,4,4,0,0
L00088,2024-06-21,Product Page,1,4,1,3016
L00088,2024-06-23,Blog Post,2,4,1,3016
L00088,2024-06-29,LinkedIn Ad,3,4,1,3016
L00088,2024-06-27,Email Campaign,4,4,1,3016
L00089,2024-12-13,Paid Search,1,6,0,0
L00089,2024-12-14,Facebook Ad,2,6,0,0
L00089,2024-12-19,Email Campaign,3,6,0,0
L00089,2024-12-25,Blog Post,4,6,0,0
L00089,2024-12-17,Sales Call,5,6,0,0
L00089,2024-12-18,Demo Request,6,6,0,0
L00090,2024-05-13,Product Page,1,6,1,2616
L00090,2024-05-17,Blog Post,2,6,1,2616
L00090,2024-05-15,Sales Call,3,6,1,2616
L00090,2024-05-25,Organic Search,4,6,1,2616
L00090,2024-05-17,Email Campaign,5,6,1,2616
L00090,2024-05-18,Demo Request,6,6,1,2616
